数据分析与可视化实习生,北京,大数据,研发,2,实习,"1. 熟悉基本的机器学习模型，有实际应用的经验；
2. 对数据可视化有一定了解，热爱数据可视化，关注业界发展动向；
3. 掌握 SVG / Canvas / WebGL 等前端绘图技术，至少使用过一个数据可视化类库，如 d3 / G2 / Three.js / ECharts 等；
4. 对数据有敏锐的洞察力，能够对数据进行处理和输出；
5. 熟悉主流数据可视化工具，有仪表盘、BI、数据探索、机器学习相关开发经验者优先。","1. 参与研发系统数据分析和可视化产品，对大规模服务器的海量监控数据、统计数据进行展示，为业务系统监控、智能运维提供基础保障；
2. 探索交互式数据可视化与机器学习模型的融合，并在 AIOPS 中应用。"
风险运营实习生（数据分析）-海外广告安全,北京,商业运营,运营,2,实习,"1. 本科或研究生在读，大三、研一研二优先，统计、数学相关专业优先，对数据分析有强烈兴趣者优先；
2. 精通Excel，有大型互联网公司数据分析经验、互联网数据分析经验者，熟悉SQL和Python优先；
3. 英语专业，雅思7/托福100/六级550+/专八以上，有笔译功底加分；
4. 实习周期四个月或更长；尽快入职，保证每周4天以上，每周5天的同学优先；
5. 能快速理解业务，发掘业务细节和数据之间的联系；
6. 积极、主动、耐心、踏实、高效、善于沟通，抗压能力强；
7. 热爱互联网行业，并认可ByteDance文化。","1. 负责风险运营的业务分析工作，通过对数据的收集、统计分析与利用，编制分析报告;
2. 负责风险运营日常数据统计分析，针对异常情况进行跟踪和深入分析;
3. 数据报表展现及支持业务方及团队内部数据需求；
4. 其他相关工作任务。"
风险运营实习生（数据分析）-海外广告安全,上海,商业运营,运营,2,实习,"1. 本科或研究生在读，大三、研一研二优先，统计、数学相关专业优先，对数据分析有强烈兴趣者优先；
2. 精通Excel，有大型互联网公司数据分析经验、互联网数据分析经验者，熟悉SQL和Python者优先；
3. 英语专业，雅思7/托福90/六级530+/专四以上，有笔译功底加分；
4. 实习周期三个月或更长；尽快入职，保证每周4天以上；
5. 能快速理解业务，发掘业务细节和数据之间的联系；
6. 积极、主动、耐心、踏实、高效、善于沟通，抗压能力强；
7. 热爱互联网行业，并认可ByteDance文化。
","1. 负责风险运营的业务分析工作，通过对数据的收集、统计分析与利用，编制分析报告；
2. 负责风险运营日常数据统计分析，针对异常情况进行跟踪和深入分析；
3. 数据报表展现及支持业务方及团队内部数据需求；
4. 其他相关工作任务。"
数据分析实习生,北京,大数据,研发,2,实习,"1、希望你是本科大三/2年制研一/3年制研二/博士应届的同学，数学/统计等相关专业，有相关工作经验优先；
2、热爱计算机科学和互联网技术，有优秀的编码能力，乐于快速学习和尝试新技术、新工具；
3、熟悉各种数据统计的方法，有较强的数据获取能力和呈现能力，能够利用现有数据发现问题；
4、业务和数据理解能力强，能够快速进行分析工作；
5、逻辑分析能力强，能够利用现有数据，对将来或其他不确定问题进行预估，并且能够设计多种指标相互验证。","1、深入理解业务，利用数据进行刻画并说明问题，发现潜力和机会；
2、和数据研发工程师，算法工程师，后端研发工程师一起，构建产品增长的指标体系、利用数据驱动业务增长；
3、结合对业务的理解和业务分析方法，抽象、沉淀业务增长的模型，借此预见性的发现字节跳动各产品增长的隐患；
4、针对各个产品的各种增长手段，做好事前的潜力预估，指标设计；事中利用数据发现问题，指导迭代；事后整理效果指标，和业务一起制定新目标。"
数据分析实习生-Growth,上海,大数据,研发,2,实习,"1、计算机/统计/模式识别等相关专业本科，硕士在读。
2、扎实的计算机编程能力，C/C++，Java，Python，SQL/HQL均可。
3、强的业务和数据理解能力。
3、实习期间，能够提供一周四天或以上的工作时间。
4、有过数据治理，数据挖掘，BI，算法等大数据相关项目/实习经验优先。","1、负责字节跳动用户行为的理解和建模，帮助业务满足用户需求，促进业务增长。
2、基于用户数据和业务数据，进行BI分析，探索业务增长机会。
3、基于用户数据和业务数据，进行数据挖掘，探索对内容，用户，场景的认识。"
抖音电商-消费者体验数据分析实习生,上海,运营,无,2,实习,"1、本科及以上学历，计算机、统计学、数学等相关专业优先；
2、熟练使用SQL/Hive、EXCEL，熟悉常用数据统计和分析方法；
3、有良好的业务理解能力和快速学习能力，责任心强；
4、实习周期3个月及以上，期望每周到岗4天及以上。","1、负责抖音电商消费者体验日常数据统计分析，协助挖掘消费者体验环节中存在的问题，通过优化产品功能、运营策略提升消费者体验；
2、参与重点指标进行定性和定量分析，迅速定位业务问题或发现机会点，推进业务方案的落地；
3、协助日常监控业务运营指标及报表的设计、优化。"
战略分析实习生,北京,数据分析,产品,2,实习,"1、本科以上学历，至少实习期三个月；
2、认真、踏实，具有较强的学习能力，工作责任心，有团队精神；
3、专业不限，汽车、金融、数据相关方向优先，能熟练运用office和分析软件者优先；
4、具备互联网战略、投资、咨询、PE/VC、券商行研分析经验，对汽车行业有兴趣者优先。","1、参与汽车行业宏观数据、产业链信息、公司资料的整理分析工作；
2、协助分析师进行相关项目和专题的研究分析，提供信息支持，总结和分析汽车行业的趋势化特征等；
3、协助完成汽车宏观数据看板的制作，包括对接研发人员，将整理的汽车行业数据实现在看板中的可视化展示；
4、协助处理部门其他研究课题项目的资料整理、数据分析、战略支持工作。"
数据科学实习生-国际化短视频,北京,数据分析,产品,2,实习,"1. 数据科学/统计/数学/计算机相关专业同学优先；
2. 优秀的逻辑分析思维，能够清晰有条理地拆解开放性问题；极强的自驱力，能快速接受大量信息并主动地探索和解决难题；出色的泛化能力，能将知识和方法迁移应用到全新的场景中；
3. 熟练使用Python/C++/SQL中的至少一种语言；
4. 有机器学习基础知识；
5. 良好的统计学背景；
6. 加分项：精通sql/spark；对推荐算法有深入认识","1. 参与字节跳动TikTok推荐系统相关的数据科学及分析工作；
2. 从算法视角出发，结合统计方法，拆解产品业务生态中的关键问题并进行前瞻性的分析和建模。产生确实可行的落地方案，优化业务方向决策；
3. 深入理解和挖掘推荐系统，对算法和模型的迭代提供优化意见，带来业务的实际提升增长；
4. 同时接触推荐算法、数据分析、产品决策，与业务一起高速成长"
数据循环中心项目管理实习生,北京,数据分析,产品,2,实习,"1、本科或研究生在读，大三、研一研二优先；计算机、人工智能、数据科学专业背景优先；
2、英语读写能力一流，雅思6.5/托福95/六级550以上；雅思7.5/托福110/六级600+/Native Speaker优先考虑；
3、熟练使用Excel等办公软件，良好的数据分析思维，具备SQL能力优先；
4、每周3天以上，实习周期3个月以上；一周可上4天班及以上，能连续实习6个月以上优先考虑；
5、有海外生活留学经历优先考虑；
6、有责任心，积极主动、踏实。","了解MI广告安全及内容理解业务，掌握人工智能基本原理，支持业务各项目管理的相关工作：
1、支持英文的数据类项目管理，包括项目规划、启动、执行及跟踪等流程对接；
2、支持跨多团队，多国家地区的项目沟通与协调；
3、撰写项目文档及分析报告。"
数据产品分析实习生-国际商业化安全 ,上海,数据分析,产品,2,实习,"1. 本科或研究生在读，大三、研一研二优先；数学、统计、数据科学、商业分析专业背景优先；
2. 较强英语读写能力，雅思6.5/托福95/六级550以上；
3. 熟练掌握SQL，了解常用的统计和分析方法，掌握 Tableau/Power BI等BI可视化工具优先；
4. 有海外生活留学经历优先考虑；
5. 每周3天以上，实习周期3个月以上。","了解国际商业化变现产品和内容理解业务，掌握AI/ML基本原理以及在内容理解上的应用，跨团队合作支持数据/模型开发项目落地。
1. 支持内容理解项目全流程，包括模型数据采集，交付，训练，评估和迭代；
2. 负责数据提取，清理，挖掘和可视化，产出模型监控看板和评估分析报告，指导模型迭代方向；
3. 支持纯英文环境下，跨多团队，多国家地区的项目沟通与协调；"
