彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.5,547730
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,365286
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,390636
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,267572
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,266893
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,352980
末路狂花,雷德利·斯科特 Ridley Scott,1991,8.9,234406
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,849607
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,554273
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,694343
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,338043
千年女优,今敏 Satoshi Kon,2001,8.8,250705
燃情岁月,爱德华·兹威克 Edward Zwick,1994,8.8,276783
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.5,539123
阿飞正传,王家卫 Kar Wai Wong,1990,8.5,487251
再次出发之纽约遇见你,约翰·卡尼 John Carney,2013,8.6,412882
芙蓉镇,谢晋 Jin Xie,1987,9.2,122162
谍影重重,道格·里曼 Doug Liman,2002,8.6,407694
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,8.6,441760
弱点,约翰·李·汉考克 John Lee Hancock,2009,8.7,290181
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,9.1,153627
香水,汤姆·提克威 Tom Tykwer,2006,8.5,527851
穿越时空的少女,细田守 Mamoru Hosoda,2006,8.6,368907
我爱你,秋昌民 Chang-min Choo,2011,9.0,159865
地球上的星星,阿米尔·汗 Aamir Khan,2007,8.9,197735
